X1,X2,X3,Y,NX1,NX2,NX3,NY,,,,,,,,,,,,
5377.92,5329.68,5335.57,5417.86,-1.465064918,-1.496482039,-1.492515671,-1.504935421,,,,,,,,,,,,
5417.86,5377.92,5329.68,5377.76,-1.447081607,-1.474556839,-1.470587701,-1.483012334,,,,,,,,,,,,
5377.76,5417.86,5377.92,5409.23,-1.46513696,-1.45640401,-1.452432577,-1.464861254,,,,,,,,,,,,
5409.23,5377.76,5417.86,5401.33,-1.450967335,-1.474629559,-1.47066043,-1.483085047,,,,,,,,,,,,
5401.33,5409.23,5377.76,5371.47,-1.454524374,-1.460326366,-1.456355429,-1.468783232,,,,,,,,,,,,
5371.47,5401.33,5409.23,5355.64,-1.467969083,-1.463916936,-1.459946453,-1.472373456,,,,,,,,,,,,
5355.64,5371.47,5401.33,5381.59,-1.47509667,-1.47748838,-1.473519612,-1.485943593,,,,,,,,,,,,
5381.59,5355.64,5371.47,5393.94,-1.463412471,-1.484683154,-1.480715295,-1.493137674,,,,,,,,,,,,
5393.94,5381.59,5355.64,5330.14,-1.457851782,-1.472888815,-1.468919466,-1.481344471,,,,,,,,,,,,
5330.14,5393.94,5381.59,5346.45,-1.486578254,-1.467275709,-1.463305651,-1.475731906,,,,,,,,,,,,
5346.45,5330.14,5393.94,5320.67,-1.479234543,-1.496272967,-1.492306573,-1.50472637,,,,,,,,,,,,
5320.67,5346.45,5330.14,5327.54,-1.490842199,-1.488860032,-1.484892701,-1.497314149,,,,,,,,,,,,
5327.54,5320.67,5346.45,5318.72,-1.487748925,-1.500577106,-1.496611256,-1.509030094,,,,,,,,,,,,
5318.72,5327.54,5320.67,5195.5,-1.491720202,-1.497454674,-1.493488429,-1.505907963,,,,,,,,,,,,
5195.5,5318.72,5327.54,5171.73,-1.547201015,-1.501463386,-1.497497648,-1.509916289,,,,,,,,,,,,
5171.73,5195.5,5318.72,5199.49,-1.557903652,-1.557467182,-1.553508521,-1.565914689,,,,,,,,,,,,
5199.49,5171.73,5195.5,5184.14,-1.545404485,-1.568270706,-1.56431341,-1.576717172,,,,,,,,,,,,
5184.14,5199.49,5171.73,5173.2,-1.552315948,-1.555653717,-1.551694827,-1.564101399,,,,,,,,,,,,
5173.2,5184.14,5199.49,5118.43,-1.557241772,-1.56263033,-1.558672321,-1.57107734,,,,,,,,,,,,
5118.43,5173.2,5184.14,5087.94,-1.581902413,-1.567602587,-1.563645207,-1.576049118,,,,,,,,,,,,
5087.94,5118.43,5173.2,4997.35,-1.595630785,-1.592495688,-1.588541454,-1.600939821,,,,,,,,,,,,
4997.35,5087.94,5118.43,5055.99,-1.636419673,-1.606353469,-1.602400985,-1.614796266,,,,,,,,,,,,
5055.99,4997.35,5087.94,5045.91,-1.610016533,-1.647526849,-1.643579568,-1.655965679,,,,,,,,,,,,
5045.91,5055.99,4997.35,5045.7,-1.614555136,-1.620874823,-1.616924175,-1.629316221,,,,,,,,,,,,
5045.7,5045.91,5055.99,4958.93,-1.61464969,-1.625456208,-1.621506139,-1.633897165,,,,,,,,,,,,
4958.93,5045.7,5045.91,4890.9,-1.653718592,-1.625551654,-1.621601596,-1.633992601,,,,,,,,,,,,
4890.9,4958.93,5045.7,4970.35,-1.684349656,-1.664988834,-1.66104376,-1.673425982,,,,,,,,,,,,
4970.35,4890.9,4958.93,5080.67,-1.648576644,-1.695908638,-1.691967472,-1.704342807,,,,,,,,,,,,
5080.67,4970.35,4890.9,5126.08,-1.598904162,-1.659798416,-1.655852686,-1.668236064,,,,,,,,,,,,
5126.08,5080.67,4970.35,5128.76,-1.578457938,-1.609657702,-1.605705636,-1.618100181,,,,,,,,,,,,
5128.76,5126.08,5080.67,5196.78,-1.577251246,-1.589018744,-1.58506407,-1.597463212,,,,,,,,,,,,
5196.78,5128.76,5126.08,5217.87,-1.546624685,-1.587800677,-1.58384585,-1.596245262,,,,,,,,,,,,
5217.87,5196.78,5128.76,5245.89,-1.53712874,-1.556885419,-1.552926684,-1.565332982,,,,,,,,,,,,
5245.89,5217.87,5196.78,5267.92,-1.524512505,-1.547299961,-1.543340015,-1.555748448,,,,,,,,,,,,
5267.92,5245.89,5217.87,5233.76,-1.514593318,-1.534564802,-1.530603246,-1.543014515,,,,,,,,,,,,
5233.76,5267.92,5245.89,5299.47,-1.529974137,-1.524552112,-1.520589291,-1.53300279,,,,,,,,,,,,
5299.47,5233.76,5267.92,5296.07,-1.500387672,-1.540077917,-1.536117058,-1.548527099,,,,,,,,,,,,
5296.07,5299.47,5233.76,5342.9,-1.50191855,-1.510212559,-1.506247926,-1.518664619,,,,,,,,,,,,
5342.9,5296.07,5299.47,5371.52,-1.48083296,-1.511757867,-1.50779343,-1.520209778,,,,,,,,,,,,
5371.52,5342.9,5296.07,5420.98,-1.467946571,-1.490473516,-1.486506389,-1.498927477,,,,,,,,,,,,
5420.98,5371.52,5342.9,5445.57,-1.445676801,-1.477465655,-1.473496884,-1.48592087,,,,,,,,,,,,
5445.57,5420.98,5371.52,5470.23,-1.434604952,-1.454985962,-1.45101435,-1.463443343,,,,,,,,,,,,
5470.23,5445.57,5420.98,5433.98,-1.423501586,-1.443809746,-1.439836722,-1.452268203,,,,,,,,,,,,
5433.98,5470.23,5445.57,5381.01,-1.439823445,-1.432601714,-1.428627275,-1.441061252,,,,,,,,,,,,
5381.01,5433.98,5470.23,5467.02,-1.46367362,-1.449077429,-1.445105072,-1.45753538,,,,,,,,,,,,
5467.02,5381.01,5433.98,5465.25,-1.424946915,-1.473152426,-1.46918311,-1.481608057,,,,,,,,,,,,
5465.25,5467.02,5381.01,5453.11,-1.425743872,-1.434060667,-1.430086412,-1.442520064,,,,,,,,,,,,
5453.11,5465.25,5467.02,5458.42,-1.431210006,-1.434865137,-1.430890983,-1.443324456,,,,,,,,,,,,
5458.42,5453.11,5465.25,5468.29,-1.428819135,-1.440382797,-1.43640934,-1.448841585,,,,,,,,,,,,
5468.29,5458.42,5453.11,5390.02,-1.424375087,-1.437969389,-1.433995627,-1.446428409,,,,,,,,,,,,
5390.02,5468.29,5458.42,5383.35,-1.459616794,-1.433483449,-1.429509121,-1.441942902,,,,,,,,,,,,
5383.35,5390.02,5468.29,5367.33,-1.462620016,-1.469057359,-1.465087526,-1.477513384,,,,,,,,,,,,
5367.33,5383.35,5390.02,5331.91,-1.469833152,-1.47208889,-1.46811944,-1.480544623,,,,,,,,,,,,
5331.91,5367.33,5383.35,5246.91,-1.485781297,-1.47937002,-1.47540149,-1.487825052,,,,,,,,,,,,
5246.91,5331.91,5367.33,5330.97,-1.524053242,-1.495468498,-1.491502002,-1.503921979,,,,,,,,,,,,
5330.97,5246.91,5331.91,5352.12,-1.48620454,-1.534101209,-1.530139595,-1.542550968,,,,,,,,,,,,
5352.12,5330.97,5246.91,5349.04,-1.476681579,-1.49589573,-1.491929289,-1.50434917,,,,,,,,,,,,
5349.04,5352.12,5330.97,5353.41,-1.478068374,-1.486283003,-1.482315346,-1.494737368,,,,,,,,,,,,
5353.41,5349.04,5352.12,5379.01,-1.476100746,-1.48768287,-1.483715391,-1.496137101,,,,,,,,,,,,
5379.01,5353.41,5349.04,5427.37,-1.464574137,-1.485696695,-1.481728964,-1.494151117,,,,,,,,,,,,
5427.37,5379.01,5353.41,5484.01,-1.442799651,-1.474061431,-1.47009223,-1.482516974,,,,,,,,,,,,
5484.01,5427.37,5379.01,5515.05,-1.417297028,-1.452081691,-1.448109713,-1.460539352,,,,,,,,,,,,
5515.05,5484.01,5427.37,5520.87,-1.403321014,-1.42633867,-1.422363439,-1.434798811,,,,,,,,,,,,
5520.87,5515.05,5484.01,5502.3,-1.400700512,-1.412230913,-1.408253899,-1.420692413,,,,,,,,,,,,
5502.3,5520.87,5515.05,5514.54,-1.409061806,-1.409585709,-1.40560836,-1.418047464,,,,,,,,,,,,
